STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT,THSMON_SELNG_CO,MDWK_SELNG_AMT,WKEND_SELNG_AMT,MON_SELNG_AMT,TUES_SELNG_AMT,WED_SELNG_AMT,THUR_SELNG_AMT,FRI_SELNG_AMT,SAT_SELNG_AMT,SUN_SELNG_AMT,TMZON_00_06_SELNG_AMT,TMZON_06_11_SELNG_AMT,TMZON_11_14_SELNG_AMT,TMZON_14_17_SELNG_AMT,TMZON_17_21_SELNG_AMT,TMZON_21_24_SELNG_AMT,ML_SELNG_AMT,FML_SELNG_AMT,AGRDE_10_SELNG_AMT,AGRDE_20_SELNG_AMT,AGRDE_30_SELNG_AMT,AGRDE_40_SELNG_AMT,AGRDE_50_SELNG_AMT,AGRDE_60_ABOVE_SELNG_AMT,MDWK_SELNG_CO,WKEND_SELNG_CO,MON_SELNG_CO,TUES_SELNG_CO,WED_SELNG_CO,THUR_SELNG_CO,FRI_SELNG_CO,SAT_SELNG_CO,SUN_SELNG_CO,TMZON_00_06_SELNG_CO,TMZON_06_11_SELNG_CO,TMZON_11_14_SELNG_CO,TMZON_14_17_SELNG_CO,TMZON_17_21_SELNG_CO,TMZON_21_24_SELNG_CO,ML_SELNG_CO,FML_SELNG_CO,AGRDE_10_SELNG_CO,AGRDE_20_SELNG_CO,AGRDE_30_SELNG_CO,AGRDE_40_SELNG_CO,AGRDE_50_SELNG_CO,AGRDE_60_ABOVE_SELNG_CO
20251,D,발달상권,3120052,성수역,CS200019,PC방,233226583.0,42711.0,168354789.0,64871794.0,34101518.0,27243329.0,35555207.0,33219256.0,38235479.0,35178440.0,29693354.0,23815803.0,14689691.0,39815803.0,41885924.0,76795396.0,36223966.0,193156006.0,40070577.0,1554065.0,104064422.0,104044580.0,11952456.0,7930195.0,3680865.0,30695.0,12016.0,6164.0,5379.0,6143.0,6028.0,6981.0,6688.0,5328.0,3841.0,2940.0,7159.0,8675.0,13837.0,6259.0,33603.0,9108.0,430.0,21156.0,16885.0,1742.0,1732.0,766.0
20251,A,골목상권,3110128,성원중학교,CS300031,가구,68707333.0,57.0,68707333.0,0.0,0.0,0.0,0.0,68707333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68707333.0,0.0,0.0,68707333.0,0.0,0.0,0.0,0.0,0.0,68707333.0,57.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0
20251,A,골목상권,3110131,성수동카페거리,CS300015,가방,456974022.0,4347.0,456974022.0,0.0,241014735.0,39331089.0,23546442.0,69115382.0,83966374.0,0.0,0.0,0.0,211947863.0,108132717.0,48803452.0,88089990.0,0.0,226089038.0,121280477.0,0.0,0.0,97973085.0,0.0,119525088.0,129871342.0,4347.0,0.0,1902.0,814.0,544.0,544.0,543.0,0.0,0.0,0.0,1087.0,1087.0,1357.0,816.0,0.0,1902.0,1358.0,0.0,0.0,543.0,0.0,815.0,1903.0
20251,A,골목상권,3110117,성동구보건소,CS300032,가전제품,9580324.0,383.0,9580324.0,0.0,3189189.0,0.0,0.0,6378378.0,12757.0,0.0,0.0,0.0,0.0,12757.0,9567567.0,0.0,0.0,6391135.0,0.0,0.0,0.0,0.0,0.0,12757.0,6378378.0,383.0,0.0,127.0,0.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,128.0,255.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,128.0,128.0
20251,A,골목상권,3110137,성수초등학교,CS200032,가전제품수리,97153998.0,1960.0,80794402.0,16359596.0,15223011.0,14751448.0,19273612.0,17665462.0,13880869.0,16359596.0,0.0,0.0,15573659.0,44351071.0,26528423.0,10700845.0,0.0,49346510.0,43442510.0,0.0,266010.0,10254109.0,19164893.0,21544317.0,41559691.0,1633.0,327.0,363.0,303.0,339.0,338.0,290.0,327.0,0.0,0.0,339.0,883.0,544.0,194.0,0.0,968.0,931.0,0.0,24.0,146.0,342.0,489.0,898.0
20251,A,골목상권,3110122,마장역 2번,CS200017,골프연습장,84719367.0,2488.0,51060467.0,33658900.0,13108771.0,11357863.0,9733665.0,6815485.0,10044683.0,20312067.0,13346833.0,12118125.0,6780928.0,10835663.0,12310112.0,27761105.0,14913434.0,68101101.0,10075399.0,0.0,6419996.0,10843342.0,25311370.0,24313045.0,11288748.0,1534.0,954.0,421.0,330.0,246.0,229.0,308.0,570.0,384.0,354.0,306.0,407.0,338.0,753.0,330.0,2043.0,316.0,0.0,130.0,323.0,760.0,768.0,376.0
20251,A,골목상권,3110110,상왕십리역 6번,CS200029,네일숍,40865750.0,479.0,24299455.0,16566295.0,2552757.0,1891710.0,0.0,15078921.0,4776067.0,16566295.0,0.0,0.0,0.0,2882606.0,8817998.0,29165146.0,0.0,180162.0,28279171.0,0.0,7691979.0,17123150.0,1216100.0,1302086.0,1126018.0,339.0,140.0,66.0,13.0,0.0,132.0,128.0,140.0,0.0,0.0,0.0,16.0,252.0,211.0,0.0,8.0,409.0,0.0,248.0,137.0,8.0,20.0,4.0
20251,A,골목상권,3110122,마장역 2번,CS200037,노래방,218609191.0,1312.0,135364399.0,83244792.0,31994780.0,7268288.0,25027491.0,35215502.0,35858338.0,47971530.0,35273262.0,29191646.0,0.0,0.0,10976465.0,62983910.0,115457170.0,201832752.0,12520780.0,0.0,1419713.0,7517313.0,21828084.0,159521790.0,24066632.0,721.0,591.0,155.0,64.0,129.0,164.0,209.0,359.0,232.0,215.0,0.0,0.0,38.0,350.0,709.0,1090.0,183.0,0.0,38.0,91.0,252.0,721.0,172.0
20251,A,골목상권,3110128,성원중학교,CS200016,당구장,34738961.0,1971.0,23303414.0,11435547.0,5325740.0,3987184.0,3559206.0,6814339.0,3616945.0,6252207.0,5183340.0,1480954.0,0.0,227839.0,5951516.0,16004698.0,11073954.0,33113537.0,1625424.0,0.0,1388722.0,1785587.0,1366254.0,15550019.0,14648379.0,1363.0,608.0,227.0,256.0,240.0,469.0,171.0,351.0,257.0,56.0,0.0,28.0,411.0,1024.0,452.0,1844.0,127.0,0.0,41.0,127.0,97.0,855.0,851.0
20251,A,골목상권,3110128,성원중학교,CS300021,문구,108665554.0,4665.0,103603386.0,5062168.0,42632448.0,2696305.0,22586766.0,18393747.0,17294120.0,3082285.0,1979883.0,335997.0,1505044.0,39286643.0,58371542.0,6125695.0,3040633.0,9800517.0,13908089.0,17133.0,1806107.0,6481190.0,6507387.0,5884188.0,3012601.0,3554.0,1111.0,1166.0,500.0,721.0,611.0,556.0,639.0,472.0,167.0,167.0,446.0,1719.0,1360.0,806.0,2207.0,1876.0,29.0,883.0,969.0,1470.0,448.0,283.0
